Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,
UV 1_280,,Cond,,Conc B,,Injection,,Run Log,,"UV 1_280_CUT_TEMP@100,BASEM",
ml,mAU,ml,mS/cm,ml,%,ml,Injection,ml,Logbook,ml,mAU
-0.830742,28.485846,-0.635596,9.386276,0.926164,0,,,,,0.195158,-0.123154
-0.829988,28.088221,-0.634089,9.38627,0.933701,0,,,,,0.195911,-0.123152
-0.829235,27.697607,-0.632582,9.386275,0.941238,0,,,,,0.196665,-0.12315
-0.828481,27.315176,-0.631075,9.386258,0.948775,0,,,,,0.197418,-0.123148
-0.827728,26.936749,-0.629568,9.386237,0.956312,0,,,,,0.198172,-0.123146
-0.826974,26.568804,-0.628061,9.38622,0.963848,0,,,,,0.198925,-0.123144
-0.826221,26.206173,-0.626554,9.386086,0.971385,0,,,,,0.199679,-0.123142
-0.825467,25.844269,-0.625047,9.385961,0.978922,0,,,,,0.200432,-0.12314
-0.824714,25.488695,-0.62354,9.385939,0.986459,0,,,,,0.201186,-0.123137
-0.82396,25.136755,-0.622033,9.385964,0.993996,0,,,,,0.201939,-0.123135
-0.823207,24.786884,-0.620526,9.385979,1.001533,0,,,,,0.202693,-0.123133
-0.822453,24.437967,-0.619019,9.385978,1.00907,0,,,,,0.203446,-0.123131
-0.8217,24.089716,-0.617512,9.38599,1.016607,0,,,,,0.2042,-0.12313
-0.820946,23.742733,-0.616005,9.385997,1.024144,0,,,,,0.204953,-0.123128
-0.820193,23.396973,-0.614498,9.385984,1.031681,0,,,,,0.205707,-0.123127
-0.819439,23.050776,-0.612992,9.386024,1.039218,0,,,,,0.20646,-0.123125
-0.818686,22.705933,-0.611485,9.386046,1.046755,0,,,,,0.207214,-0.123124
-0.817932,22.36507,-0.609978,9.386111,1.054292,0,,,,,0.207967,-0.123123
-0.817178,22.021505,-0.608471,9.386148,1.061828,0,,,,,0.208721,-0.123121
-0.816425,21.677645,-0.606964,9.386193,1.069365,0,,,,,0.209474,-0.12312
-0.815672,21.334932,-0.605457,9.386219,1.076902,0,,,,,0.210228,-0.123118
-0.814918,20.993324,-0.60395,9.386232,1.084439,0,,,,,0.210981,-0.123117
-0.814165,20.651518,-0.602443,9.386302,1.091976,0,,,,,0.211735,-0.123115
-0.813411,20.308359,-0.600936,9.386398,1.099513,0,,,,,0.212488,-0.123114
-0.812657,19.964724,-0.599429,9.386514,1.10705,0,,,,,0.213242,-0.123113
